epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-22,24,MS,Costa Rica,5003256,city,34,163.28099,11,0,0,0.0,20823,True,False
26,2020-06-22,71,MS,Coxim,5003306,city,10,29.81248,0,0,0,0.0,33543,True,False
26,2020-06-22,37,MS,Deodápolis,5003454,city,30,232.12628,1,1,0,0.0333,12924,True,False
26,2020-06-22,37,MS,Douradina,5003504,city,94,1586.7657,2,1,0,0.0106,5924,True,False
26,2020-06-22,87,MS,Dourados,5003702,city,1964,880.91895,135,13,2,0.0066,222949,True,False
26,2020-06-22,38,MS,Fátima do Sul,5003801,city,214,1115.22226,2,0,0,0.0,19189,True,False
26,2020-06-22,38,MS,Glória de Dourados,5004007,city,19,190.66734,1,1,1,0.0526,9965,True,False
26,2020-06-22,49,MS,Guia Lopes da Laguna,5004106,city,254,2566.95301,1,2,1,0.0079,9895,True,False
26,2020-06-22,14,MS,Iguatemi,5004304,city,8,49.75743,1,1,0,0.125,16078,True,False
26,2020-06-22,7,MS,Inocência,5004403,city,0,,0,0,0,0.0,7610,True,False
26,2020-06-22,36,MS,Itaporã,5004502,city,97,390.51492,2,3,0,0.0309,24839,True,False
26,2020-06-22,25,MS,Itaquiraí,5004601,city,13,61.48898,0,1,0,0.0769,21142,True,False
26,2020-06-22,29,MS,Ivinhema,5004700,city,29,125.07008,4,0,0,0.0,23187,True,False
26,2020-06-22,47,MS,Jardim,5005004,city,49,187.76105,0,0,0,0.0,26097,True,False
26,2020-06-22,51,MS,Jateí,5005103,city,5,124.16191,4,0,0,0.0,4027,True,False
26,2020-06-22,6,MS,Juti,5005152,city,1,14.89869,-1,0,0,0.0,6712,True,False
26,2020-06-22,66,MS,Ladário,5005202,city,28,120.012,2,0,0,0.0,23331,True,False
26,2020-06-22,21,MS,Laguna Carapã,5005251,city,2,27.24424,0,0,0,0.0,7341,True,False
26,2020-06-22,28,MS,Maracaju,5005400,city,18,38.23036,0,0,0,0.0,47083,True,False
26,2020-06-22,68,MS,Miranda,5005608,city,2,7.13954,0,0,0,0.0,28013,True,False
26,2020-06-22,67,MS,Mundo Novo,5005681,city,37,201.45922,4,0,0,0.0,18366,True,False
26,2020-06-22,72,MS,Naviraí,5005707,city,79,143.95568,6,0,0,0.0,54878,True,False
26,2020-06-22,31,MS,Nova Alvorada do Sul,5006002,city,11,50.26963,3,0,0,0.0,21882,True,False
26,2020-06-22,84,MS,Nova Andradina,5006200,city,22,40.46051,0,0,0,0.0,54374,True,False
26,2020-06-22,12,MS,Novo Horizonte do Sul,5006259,city,10,262.19192,2,0,0,0.0,3814,True,False
26,2020-06-22,66,MS,Paraíso das Águas,5006275,city,5,90.009,0,0,0,0.0,5555,True,False
26,2020-06-22,73,MS,Paranaíba,5006309,city,120,284.71102,4,2,0,0.0167,42148,True,False
26,2020-06-22,39,MS,Paranhos,5006358,city,1,7.02839,0,0,0,0.0,14228,True,False
26,2020-06-22,94,MS,Ponta Porã,5006606,city,92,99.43151,10,1,0,0.0109,92526,True,False
26,2020-06-22,30,MS,Porto Murtinho,5006903,city,0,,0,0,0,0.0,17131,True,False
26,2020-06-22,46,MS,Ribas do Rio Pardo,5007109,city,12,48.75076,1,0,0,0.0,24615,True,False
26,2020-06-22,32,MS,Rio Brilhante,5007208,city,211,562.45668,4,2,0,0.0095,37514,True,False
26,2020-06-22,3,MS,Rio Negro,5007307,city,0,,0,0,0,0.0,4831,True,False
26,2020-06-22,88,MS,Rio Verde de Mato Grosso,5007406,city,7,35.45022,0,0,0,0.0,19746,True,False
26,2020-06-22,5,MS,Rochedo,5007505,city,3,54.55537,0,0,0,0.0,5499,True,False
26,2020-06-22,45,MS,São Gabriel do Oeste,5007695,city,93,347.39083,13,0,0,0.0,26771,True,False
